"","Date","Max_value"
"1","29-Feb-20",65.96875
"2","1-Mar-20",71.75
"3","2-Mar-20",79.09375
"4","3-Mar-20",79
"5","4-Mar-20",78.09375
"6","5-Mar-20",78.59375
"7","6-Mar-20",75.125
"8","7-Mar-20",75.71875
"9","8-Mar-20",68.6875
"10","9-Mar-20",64.8125
"11","10-Mar-20",62
"12","11-Mar-20",59.65625
"13","12-Mar-20",63.21875
"14","13-Mar-20",68.875
"15","14-Mar-20",71.09375
"16","15-Mar-20",63.9375
"17","16-Mar-20",67.9375
"18","17-Mar-20",72.625
"19","18-Mar-20",72.71875
"20","19-Mar-20",67.59375
"21","20-Mar-20",77.75
"22","21-Mar-20",82
"23","22-Mar-20",81.34375
"24","23-Mar-20",77.5
"25","24-Mar-20",75.625
"26","25-Mar-20",74.5
"27","26-Mar-20",76.3125
"28","27-Mar-20",79.625
"29","28-Mar-20",77.75
"30","29-Mar-20",74.96875
"31","30-Mar-20",75.65625
"32","31-Mar-20",66.375
"33","1-Apr-20",73.21875
"34","2-Apr-20",70.28125
"35","3-Apr-20",72.21875
"36","4-Apr-20",72.5
"37","5-Apr-20",83.46875
"38","6-Apr-20",87.4375
"39","7-Apr-20",85.8125
"40","8-Apr-20",85.375
"41","9-Apr-20",82.4375
"42","10-Apr-20",76.78125
"43","11-Apr-20",73.65625
"44","12-Apr-20",77.09375
"45","13-Apr-20",78.21875
"46","14-Apr-20",76.25
"47","15-Apr-20",83.28125
"48","16-Apr-20",84.6875
"49","17-Apr-20",83.9375
"50","18-Apr-20",83.875
"51","19-Apr-20",87
"52","20-Apr-20",88.40625
"53","21-Apr-20",84.53125
"54","22-Apr-20",82.21875
"55","23-Apr-20",77.5
"56","24-Apr-20",77.53125
"57","25-Apr-20",78.21875
"58","26-Apr-20",75.09375
"59","27-Apr-20",83.21875
"60","28-Apr-20",85.34375
"61","29-Apr-20",85.8125
"62","30-Apr-20",83.03125
"63","1-May-20",83.65625
"64","2-May-20",83.625
"65","3-May-20",84.875
"66","4-May-20",90.1875
"67","5-May-20",87.40625
"68","6-May-20",85.9375
"69","7-May-20",82.46875
"70","8-May-20",83.46875
"71","9-May-20",83.5
"72","10-May-20",83.03125
"73","11-May-20",86.96875
"74","12-May-20",90.9375
"75","13-May-20",87.84375
"76","14-May-20",81.96875
"77","15-May-20",78.75
"78","16-May-20",84.21875
"79","17-May-20",81.6875
"80","18-May-20",81.5
"81","19-May-20",84.9375
"82","20-May-20",84.625
"83","21-May-20",87.1875
"84","22-May-20",92.34375
"85","23-May-20",87.5
"86","24-May-20",86.40625
"87","25-May-20",90.09375
"88","26-May-20",89.03125
"89","27-May-20",86.78125
"90","28-May-20",85.78125
"91","29-May-20",89.96875
"92","30-May-20",82.40625
"93","31-May-20",78.59375
"94","1-Jun-20",84.34375
"95","2-Jun-20",81.09375
"96","3-Jun-20",76.90625
"97","4-Jun-20",82.8125
"98","5-Jun-20",81.03125
"99","6-Jun-20",78.25
"100","7-Jun-20",86.25
"101","8-Jun-20",89.84375
"102","9-Jun-20",87.75
"103","10-Jun-20",86.78125
"104","11-Jun-20",84.0625
"105","12-Jun-20",83.90625
"106","13-Jun-20",82.34375
"107","14-Jun-20",78.8125
"108","15-Jun-20",73.84375
"109","16-Jun-20",68.15625
"110","17-Jun-20",65.46875
"111","18-Jun-20",74.375
"112","19-Jun-20",79.75
"113","20-Jun-20",86.53125
"114","21-Jun-20",86.375
"115","22-Jun-20",76.5625
"116","23-Jun-20",71.5
"117","24-Jun-20",80.6875
"118","25-Jun-20",81.78125
"119","26-Jun-20",83.90625
"120","27-Jun-20",76.625
"121","28-Jun-20",70.6875
"122","29-Jun-20",66.65625
"123","30-Jun-20",60.46875
"124","1-Jul-20",71.28125
"125","2-Jul-20",81.34375
"126","3-Jul-20",78.1875
"127","4-Jul-20",84.40625
"128","5-Jul-20",87.25
"129","6-Jul-20",79.03125
"130","7-Jul-20",77.71875
"131","8-Jul-20",76.6875
"132","9-Jul-20",77.375
"133","10-Jul-20",74.09375
"134","11-Jul-20",70.875
"135","12-Jul-20",68.84375
"136","13-Jul-20",64.46875
"137","14-Jul-20",69.1875
"138","15-Jul-20",68.15625
"139","16-Jul-20",79.75
"140","17-Jul-20",67.34375
"141","18-Jul-20",56.40625
"142","19-Jul-20",50.84375
"143","20-Jul-20",52.5
"144","21-Jul-20",56.125
"145","22-Jul-20",41.375
"146","23-Jul-20",48.59375
"147","24-Jul-20",60.65625
"148","25-Jul-20",53.65625
"149","26-Jul-20",54.3125
"150","27-Jul-20",56.34375
"151","28-Jul-20",74.75
"152","29-Jul-20",67.15625
"153","30-Jul-20",57.8125
"154","31-Jul-20",60.28125
"155","1-Aug-20",63.125
"156","2-Aug-20",60.4375
"157","3-Aug-20",48.625
"158","4-Aug-20",50.84375
"159","5-Aug-20",61.9375
"160","6-Aug-20",51.15625
"161","7-Aug-20",47.09375
"162","8-Aug-20",42.65625
"163","9-Aug-20",49.875
"164","10-Aug-20",50.875
"165","11-Aug-20",58.625
"166","12-Aug-20",45.5625
"167","13-Aug-20",43.65625
"168","14-Aug-20",40.78125
"169","15-Aug-20",44.53125
"170","16-Aug-20",48.28125
"171","17-Aug-20",64.90625
"172","18-Aug-20",62.25
"173","19-Aug-20",47.53125
"174","20-Aug-20",42.96875
"175","21-Aug-20",50.34375
"176","22-Aug-20",56.0625
"177","23-Aug-20",62.75
"178","24-Aug-20",58.3125
"179","25-Aug-20",57.59375
"180","26-Aug-20",57.125
"181","27-Aug-20",48.5
"182","28-Aug-20",54.25
"183","29-Aug-20",50.6875
"184","30-Aug-20",47.75
"185","31-Aug-20",48.6875
"186","1-Sep-20",57.15625
"187","2-Sep-20",48.4375
"188","3-Sep-20",55.5
"189","4-Sep-20",60.15625
"190","5-Sep-20",47.25
"191","6-Sep-20",42.8125
"192","7-Sep-20",37.5
"193","8-Sep-20",40.59375
"194","9-Sep-20",41.90625
"195","10-Sep-20",70.15625
"196","11-Sep-20",50.84375
"197","12-Sep-20",49.96875
"198","13-Sep-20",46.375
"199","14-Sep-20",47.03125
"200","15-Sep-20",43
"201","16-Sep-20",42.5625
"202","17-Sep-20",57.25
"203","18-Sep-20",51.34375
"204","19-Sep-20",44.0625
"205","20-Sep-20",60.125
"206","21-Sep-20",67.75
"207","22-Sep-20",55.875
"208","23-Sep-20",38.96875
"209","24-Sep-20",42.5625
"210","25-Sep-20",45.40625
"211","26-Sep-20",46.34375
"212","27-Sep-20",54.15625
"213","28-Sep-20",53.25
"214","29-Sep-20",38.09375
"215","30-Sep-20",26.375
